time_s,I_L_mot_A
0.0,0.0
1e-11,0.0
2e-11,0.0
3e-11,0.0
4e-11,0.0
4.9999999999999995e-11,0.0
6e-11,0.0
6.999999999999999e-11,0.0
8e-11,0.0
9e-11,0.0
9.999999999999999e-11,0.0
1.1e-10,0.0
1.2e-10,0.0
1.3e-10,0.0
1.3999999999999998e-10,0.0
1.5e-10,0.0
1.6e-10,0.0
1.6999999999999998e-10,0.0
1.8e-10,0.0
1.9e-10,0.0
1.9999999999999998e-10,0.0
2.1e-10,0.0
2.2e-10,0.0
2.2999999999999998e-10,0.0
2.4e-10,0.0
2.4999999999999996e-10,0.0
2.6e-10,0.0
2.7e-10,0.0
2.7999999999999996e-10,0.0
2.9e-10,0.0
3e-10,0.0
3.0999999999999996e-10,0.0
3.2e-10,0.0
3.3e-10,0.0
3.3999999999999996e-10,0.0
3.5e-10,0.0
3.6e-10,0.0
3.6999999999999996e-10,0.0
3.8e-10,0.0
3.9e-10,0.0
3.9999999999999996e-10,0.0
4.1e-10,0.0
4.2e-10,0.0
4.2999999999999996e-10,0.0
4.4e-10,0.0
4.5e-10,0.0
4.5999999999999996e-10,0.0
4.699999999999999e-10,0.0
4.8e-10,0.0
4.9e-10,0.0
4.999999999999999e-10,6.94536839999996e-15
5.1e-10,8.300743875999987e-14
5.2e-10,4.75969288999998e-13
5.299999999999999e-10,1.7966226708399934e-12
5.4e-10,5.146784701599995e-12
5.5e-10,1.2163988434399967e-11
5.599999999999999e-10,2.502456934399994e-11
5.7e-10,4.643977274399997e-11
5.8e-10,7.965179622799986e-11
5.899999999999999e-10,1.2842975201199978e-10
6e-10,1.970655517599999e-10
6.1e-10,2.903697104399996e-10
6.199999999999999e-10,4.1366707683999945e-10
6.3e-10,5.727924834399998e-10
6.4e-10,7.740863256399992e-10
6.499999999999999e-10,1.024390062279999e-09
6.6e-10,1.3310416407999997e-09
6.7e-10,1.7018708503999984e-09
6.799999999999999e-10,2.1451946139999983e-09
6.9e-10,2.6698121943999994e-09
7e-10,3.285000330799997e-09
7.099999999999999e-10,4.000508308399997e-09
7.2e-10,4.826552965199999e-09
7.3e-10,5.773813631599996e-09
7.399999999999999e-10,6.8534269783999955e-09
7.5e-10,8.076981843999998e-09
7.6e-10,9.456513949199995e-09
7.699999999999999e-10,1.1004500595999994e-08
7.8e-10,1.2733855139999998e-08
7.9e-10,1.4657921823999992e-08
7.999999999999999e-10,1.679047006799999e-08
8.1e-10,1.9145688687999998e-08
8.2e-10,2.173818077199999e-08
8.299999999999999e-10,2.458295755599999e-08
8.4e-10,2.7695432759999994e-08
8.5e-10,3.1091416927999983e-08
8.599999999999999e-10,3.4787111483999984e-08
8.7e-10,3.879910258799999e-08
8.8e-10,4.314435558399998e-08
8.899999999999999e-10,4.784020861999998e-08
9e-10,5.290436678399999e-08
9.1e-10,5.835489581199998e-08
9.199999999999999e-10,6.421021591999998e-08
9.3e-10,7.048909573200004e-08
9.399999999999999e-10,7.721064589199987e-08
9.5e-10,8.439431270799997e-08
9.6e-10,9.205987170799997e-08
9.7e-10,1.0022742171599997e-07
9.8e-10,1.0891737691999996e-07
9.899999999999999e-10,1.1815046267999996e-07
9.999999999999999e-10,1.279477077999998e-07
1.01e-09,1.3833043623999995e-07
1.02e-09,1.4932026351999995e-07
1.03e-09,1.6093908895999997e-07
1.04e-09,1.7320908711999995e-07
1.0499999999999999e-09,1.8615270411999995e-07
1.0599999999999999e-09,1.9979264843999975e-07
1.07e-09,2.1415188539999996e-07
1.08e-09,2.2925362911999993e-07
1.09e-09,2.4512133755999994e-07
1.1e-09,2.617787030399999e-07
1.1099999999999999e-09,2.7924964815999993e-07
1.1199999999999999e-09,2.9755831687999963e-07
1.13e-09,3.1672906683999993e-07
1.14e-09,3.367864655199999e-07
1.15e-09,3.577552793199999e-07
1.16e-09,3.796604689199999e-07
1.1699999999999999e-09,4.025271817999999e-07
1.1799999999999999e-09,4.2638074439999954e-07
1.19e-09,4.512466551199999e-07
1.2e-09,4.771505773199999e-07
1.21e-09,5.041183330399999e-07
1.22e-09,5.321758948399999e-07
1.2299999999999999e-09,5.613493775199999e-07
1.2399999999999999e-09,5.916650322799994e-07
1.25e-09,6.231492395599999e-07
1.26e-09,6.558285017599999e-07
1.27e-09,6.897294333599999e-07
1.28e-09,7.248787571199999e-07
1.2899999999999999e-09,7.613032958799999e-07
1.2999999999999999e-09,7.990299637199993e-07
1.3099999999999998e-09,8.380857586799991e-07
1.32e-09,8.784977579199998e-07
1.33e-09,9.202931079599998e-07
1.34e-09,9.634990169999999e-07
1.3499999999999999e-09,1.0081427503599998e-06
1.3599999999999999e-09,1.0542516199999992e-06
1.3699999999999998e-09,1.1018529707999988e-06
1.38e-09,1.1509741967999998e-06
1.39e-09,1.2016427151999998e-06
1.4e-09,1.2538859387999997e-06
1.4099999999999999e-09,1.3077313135999998e-06
1.4199999999999999e-09,1.3632062851999988e-06
1.4299999999999998e-09,1.4203382935999986e-06
1.44e-09,1.4791547643999996e-06
1.45e-09,1.5396831031999998e-06
1.46e-09,1.6019506883999998e-06
1.4699999999999999e-09,1.6659848827999998e-06
1.4799999999999999e-09,1.7318129815999986e-06
1.4899999999999998e-09,1.7994622403999983e-06
1.5e-09,1.8689598731999998e-06
1.51e-09,1.9403330151999996e-06
1.52e-09,2.0136087259999998e-06
1.5299999999999999e-09,2.0888140095999997e-06
1.5399999999999999e-09,2.1659757623999987e-06
1.5499999999999998e-09,2.245120801199998e-06
1.56e-09,2.3262758396e-06
1.57e-09,2.4094674783999994e-06
1.58e-09,2.4947222083999996e-06
1.5899999999999999e-09,2.5820664031999993e-06
1.5999999999999999e-09,2.671526301999998e-06
1.6099999999999998e-09,2.7631280039999977e-06
1.62e-09,2.8568974755999996e-06
1.63e-09,2.9528605171999997e-06
1.64e-09,3.0510427851999995e-06
1.6499999999999999e-09,3.1514697699999996e-06
1.6599999999999999e-09,3.254166781999998e-06
1.6699999999999998e-09,3.3591589515999973e-06
1.68e-09,3.4664712363999995e-06
1.69e-09,3.5761283807999997e-06
1.7e-09,3.6881549495999997e-06
1.7099999999999999e-09,3.8025752899999997e-06
1.7199999999999999e-09,3.919413530799998e-06
1.7299999999999998e-09,4.038693583599997e-06
1.74e-09,4.1604391328e-06
1.75e-09,4.2846736328e-06
1.76e-09,4.411420286399999e-06
1.7699999999999999e-09,4.540702058e-06
1.7799999999999999e-09,4.672541645999998e-06
1.7899999999999998e-09,4.806961490399997e-06
1.8e-09,4.9439837596e-06
1.81e-09,5.0836303564e-06
1.82e-09,5.225922902e-06
1.8299999999999999e-09,5.3708827132e-06
1.8399999999999998e-09,5.518530825599997e-06
1.8499999999999998e-09,5.6688879615999965e-06
1.86e-09,5.821974549600002e-06
1.87e-09,5.9778106948e-06
1.8799999999999997e-09,6.136416176799994e-06
1.89e-09,6.297810462399999e-06
1.9e-09,6.4620126796e-06
1.91e-09,6.629041599199998e-06
1.92e-09,6.798915668e-06
1.9299999999999997e-09,6.9716529795999936e-06
1.94e-09,7.147271257599998e-06
1.9499999999999997e-09,7.325787862799993e-06
1.96e-09,7.507219788799998e-06
1.97e-09,7.691583659200001e-06
1.9799999999999998e-09,7.878895713199998e-06
1.99e-09,8.0691717928e-06
1.9999999999999997e-09,8.262427354399992e-06
2.01e-09,8.458677452799998e-06
2.02e-09,8.6579367328e-06
2.03e-09,8.860219443599998e-06
2.04e-09,9.065539401200001e-06
2.0499999999999997e-09,9.273910007599991e-06
2.06e-09,9.485344235999999e-06
2.0699999999999997e-09,9.699854626799991e-06
2.08e-09,9.917453290399999e-06
2.09e-09,1.0138151900000001e-05
2.0999999999999998e-09,1.0361961623999999e-05
2.11e-09,1.0588893252e-05
2.1199999999999997e-09,1.0818957051999991e-05
2.13e-09,1.1052162835999998e-05
2.14e-09,1.1288520088000001e-05
2.15e-09,1.1528037559999999e-05
2.16e-09,1.1770723752e-05
2.1699999999999997e-09,1.201658658799999e-05
2.18e-09,1.2265633479999997e-05
2.1899999999999997e-09,1.2517871439999989e-05
2.2e-09,1.2773306791999999e-05
2.21e-09,1.3031945636e-05
2.2199999999999998e-09,1.3293793279999997e-05
2.23e-09,1.3558854724e-05
2.2399999999999997e-09,1.3827134391999989e-05
2.25e-09,1.4098636123999997e-05
2.26e-09,1.4373363404e-05
2.27e-09,1.4651318983999997e-05
2.28e-09,1.4932505148000002e-05
2.2899999999999997e-09,1.5216923807999988e-05
2.3e-09,1.5504576115999998e-05
2.3099999999999997e-09,1.5795462755999986e-05
2.32e-09,1.6089583895999996e-05
2.33e-09,1.6386939104e-05
2.3399999999999998e-09,1.6687527491999995e-05
2.35e-09,1.6991347556000002e-05
2.3599999999999997e-09,1.7298397091999988e-05
2.37e-09,1.7608673627999994e-05
2.38e-09,1.79221738e-05
2.39e-09,1.8238893907999997e-05
2.4e-09,1.8558829604000003e-05
2.4099999999999997e-09,1.8881975999999987e-05
2.42e-09,1.9208327447999996e-05
2.4299999999999997e-09,1.9537877903999987e-05
2.44e-09,1.9870620763999995e-05
2.45e-09,2.0206548652e-05
2.4599999999999998e-09,2.0545653751999998e-05
2.47e-09,2.088792766e-05
2.4799999999999997e-09,2.1233361271999985e-05
2.49e-09,2.1581944855999995e-05
2.5e-09,2.1933668224e-05
2.51e-09,2.2288520571999997e-05
2.52e-09,2.2646490324000003e-05
2.5299999999999997e-09,2.3007565535999987e-05
2.54e-09,2.3371733415999997e-05
2.5499999999999997e-09,2.3738980647999984e-05
2.56e-09,2.4109293399999997e-05
2.57e-09,2.4482390467500005e-05
2.5799999999999998e-09,2.4859027181999995e-05
2.59e-09,2.5238446909999996e-05
2.5999999999999997e-09,2.5620870341999993e-05
2.61e-09,2.6006280479999996e-05
2.6199999999999996e-09,2.639465957999998e-05
2.63e-09,2.6785989499999992e-05
2.64e-09,2.7180251217999996e-05
2.6499999999999997e-09,2.757742539199999e-05
2.66e-09,2.7977491755999995e-05
2.6699999999999997e-09,2.838042963399999e-05
2.68e-09,2.8786217571999993e-05
2.69e-09,2.9194833481999996e-05
2.6999999999999998e-09,2.960625478799999e-05
2.71e-09,3.0020458157999993e-05
2.7199999999999997e-09,3.0437419681999992e-05
2.73e-09,3.085711483999999e-05
2.7399999999999996e-09,3.127951830999998e-05
2.75e-09,3.1704604427999994e-05
2.76e-09,3.2132346572e-05
2.7699999999999997e-09,3.256257554799999e-05
2.78e-09,3.29955051375e-05
2.7899999999999997e-09,3.343125141199999e-05
2.8e-09,3.386934058799999e-05
2.81e-09,3.430994398599999e-05
2.8199999999999998e-09,3.475303146399999e-05
2.83e-09,3.5198571977999995e-05
2.8399999999999997e-09,3.564653410799999e-05
2.85e-09,3.609688558799999e-05
2.8599999999999996e-09,3.6549593719999975e-05
2.87e-09,3.700462499399999e-05
2.88e-09,3.746194537799999e-05
2.8899999999999997e-09,3.792152021799999e-05
2.9e-09,3.838331418199999e-05
2.9099999999999997e-09,3.884729131599999e-05
2.92e-09,3.9313415031999986e-05
2.93e-09,3.9781648232e-05
2.9399999999999998e-09,4.0251953027999994e-05
2.95e-09,4.0724291043999995e-05
2.9599999999999997e-09,4.119862316999999e-05
2.97e-09,4.167490977399999e-05
2.9799999999999996e-09,4.215311057999998e-05
2.99e-09,4.263318459999999e-05
3e-09,4.3115090401999996e-05
3.0099999999999997e-09,4.359878588799999e-05
3.02e-09,4.408422821399999e-05
3.0299999999999997e-09,4.457137418199999e-05
3.04e-09,4.506017975999999e-05
3.05e-09,4.555060035999999e-05
3.0599999999999998e-09,4.604259092799999e-05
3.07e-09,4.6536105709999995e-05
3.0799999999999997e-09,4.703109831799999e-05
3.09e-09,4.752752187599999e-05
3.0999999999999996e-09,4.802532879599998e-05
3.11e-09,4.8524471045999994e-05
3.12e-09,4.9024899971999997e-05
3.1299999999999997e-09,4.952656624199999e-05
3.14e-09,5.002941996799999e-05
3.1499999999999997e-09,5.0533410817999985e-05
3.16e-09,5.103848781599999e-05
3.17e-09,5.1544599296e-05
3.1799999999999998e-09,5.2051693225999994e-05
3.19e-09,5.2559716951999996e-05
3.1999999999999997e-09,5.306861718599999e-05
3.21e-09,5.357834017399999e-05
3.2199999999999996e-09,5.4088831527999974e-05
3.23e-09,5.460003639399999e-05
3.24e-09,5.5111899284e-05
3.2499999999999997e-09,5.562436428799999e-05
3.26e-09,5.613737495199999e-05
3.2699999999999997e-09,5.665087418799999e-05
3.28e-09,5.716480446399999e-05
3.2899999999999996e-09,5.767910769199997e-05
3.2999999999999998e-09,5.819372531799999e-05
3.31e-09,5.870859817599999e-05
3.3199999999999997e-09,5.922366671199999e-05
3.33e-09,5.973887075999999e-05
3.3399999999999996e-09,6.025414976599997e-05
3.35e-09,6.076944256399999e-05
3.36e-09,6.128468759999999e-05
3.3699999999999997e-09,6.179982272999998e-05
3.38e-09,6.231478549999999e-05
3.3899999999999997e-09,6.282951282199998e-05
3.4e-09,6.334394120799999e-05
3.4099999999999996e-09,6.385800672599998e-05
3.4199999999999998e-09,6.437164488799999e-05
3.43e-09,6.488479080599999e-05
3.4399999999999997e-09,6.539737919199998e-05
3.45e-09,6.590934433599999e-05
3.4599999999999996e-09,6.642062002799998e-05
3.47e-09,6.693113958e-05
3.48e-09,6.7440835904e-05
3.4899999999999997e-09,6.794964155599999e-05
3.5e-09,6.845748875999999e-05
3.5099999999999997e-09,6.896430907199998e-05
3.52e-09,6.947003382599998e-05
3.5299999999999996e-09,6.997459398999997e-05
3.5399999999999998e-09,7.047792001999999e-05
3.55e-09,7.0979942106e-05
3.5599999999999997e-09,7.148058998199998e-05
3.57e-09,7.197979303799998e-05
3.5799999999999996e-09,7.247748025199997e-05
3.59e-09,7.297358036999999e-05
3.6e-09,7.346802159199999e-05
3.6099999999999997e-09,7.3960732008e-05
3.62e-09,7.445163920799999e-05
3.6299999999999997e-09,7.494067041399999e-05
3.64e-09,7.542775277199999e-05
3.6499999999999996e-09,7.591281281599997e-05
3.6599999999999998e-09,7.639577684599998e-05
3.67e-09,7.6876571052e-05
3.6799999999999997e-09,7.735512114599999e-05
3.69e-09,7.783135248399999e-05
3.6999999999999996e-09,7.830519026599998e-05
3.71e-09,7.877655951599998e-05
3.72e-09,7.92453847e-05
3.73e-09,7.9711590342e-05
3.74e-09,8.0175100408e-05
3.75e-09,8.063583892199999e-05
3.7599999999999994e-09,8.109372934999996e-05
3.77e-09,8.154869525999999e-05
3.78e-09,8.2000659708e-05
3.7899999999999995e-09,8.244954561599998e-05
3.8e-09,8.2895275874e-05
3.81e-09,8.333777296e-05
3.82e-09,8.377695922999999e-05
3.829999999999999e-09,8.421275686199997e-05
3.84e-09,8.4645087868e-05
3.85e-09,8.5073873992e-05
3.8599999999999995e-09,8.5499037024e-05
3.87e-09,8.5920498364e-05
3.88e-09,8.633817938999999e-05
3.89e-09,8.675200135799999e-05
3.899999999999999e-09,8.716188534599996e-05
3.91e-09,8.756775230999999e-05
3.92e-09,8.7969523094e-05
3.9299999999999995e-09,8.836711858799999e-05
3.94e-09,8.8760459314e-05
3.95e-09,8.914946585e-05
3.9599999999999996e-09,8.953405869599999e-05
3.97e-09,8.991415830799999e-05
3.98e-09,9.0289684986e-05
3.99e-09,9.066055905199998e-05
3.9999999999999994e-09,9.102670081799997e-05
4.01e-09,9.1388030372e-05
4.02e-09,9.174446802599999e-05
4.0299999999999995e-09,9.209593382399998e-05
4.04e-09,9.244234796599999e-05
4.05e-09,9.278363063e-05
4.06e-09,9.311970191599999e-05
4.069999999999999e-09,9.345048196799997e-05
4.08e-09,9.377589106399999e-05
4.09e-09,9.409584940399999e-05
4.0999999999999995e-09,9.441027718799998e-05
4.11e-09,9.471909468199999e-05
4.12e-09,9.502222236399999e-05
4.13e-09,9.531958063399999e-05
